Id;Costes (€);Inicio Real;Descripción;Nombre Centro;Tipo Trabajo;Equipo;Desc. Equipo;Desc. Estado;Urgencia;Especialidad;Contratista;Personal;Sector;Familia;Fecha cierre;Factura;Estado;Contrato;CCAA;Centro de Servicio;Fecha Planificada;Tipo de Trabajo
16436,000000000000000000;0;2025-05-16;temperatura diaria acumuladores;HOSPITAL DE COSLADA;H001PREVL;FGACU;ACUMULADORES ACS;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULCI;H001;H001FGACU;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREVL
16435,000000000000000000;0;2025-05-16;limpieza plenum;HOSPITAL DE COSLADA;H001PREV;ECPLE;PLENUM;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULMM;H001;H001ECPLE;2025-06-06;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16435,000000000000000000;0;2025-05-16;limpieza plenum;HOSPITAL DE COSLADA;H001PREV;ECPLE;PLENUM;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;0;H001;H001ECPLE;2025-06-06;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16434,000000000000000000;0;2025-05-16;medición de biocida (RD 487/2022);HOSPITAL DE COSLADA;H001PREVL;ECTOR;TORRES DE REFRIGERACIÓN;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;0;H001;H001ECTOR;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREVL
16434,000000000000000000;0;2025-05-16;medición de biocida (RD 487/2022);HOSPITAL DE COSLADA;H001PREVL;ECTOR;TORRES DE REFRIGERACIÓN;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULCI;H001;H001ECTOR;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREVL
16433,000000000000000000;0;2025-05-16;toma de muestras ambientales Q1;HOSPITAL DE COSLADA;H001PREV;QFHIG001;CONTROL HIGIE. QUIRÓFANO 1;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULAS;H001;H001QFHIG;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16433,000000000000000000;0;2025-05-16;toma de muestras ambientales Q1;HOSPITAL DE COSLADA;H001PREV;QFHIG001;CONTROL HIGIE. QUIRÓFANO 1;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULFG;H001;H001QFHIG;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16433,000000000000000000;0;2025-05-16;toma de muestras ambientales Q1;HOSPITAL DE COSLADA;H001PREV;QFHIG001;CONTROL HIGIE. QUIRÓFANO 1;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULJR;H001;H001QFHIG;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16433,000000000000000000;0;2025-05-16;toma de muestras ambientales Q1;HOSPITAL DE COSLADA;H001PREV;QFHIG001;CONTROL HIGIE. QUIRÓFANO 1;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULCI;H001;H001QFHIG;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16433,000000000000000000;0;2025-05-16;toma de muestras ambientales Q1;HOSPITAL DE COSLADA;H001PREV;QFHIG001;CONTROL HIGIE. QUIRÓFANO 1;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;0;H001;H001QFHIG;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16432,000000000000000000;0;2025-05-16;toma de muestras ambientales Q3;HOSPITAL DE COSLADA;H001PREV;QFHIG003;CONTROL HIGIE. QUIRÓFANO 3;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;0;H001;H001QFHIG;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16432,000000000000000000;0;2025-05-16;toma de muestras ambientales Q3;HOSPITAL DE COSLADA;H001PREV;QFHIG003;CONTROL HIGIE. QUIRÓFANO 3;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULCI;H001;H001QFHIG;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16432,000000000000000000;0;2025-05-16;toma de muestras ambientales Q3;HOSPITAL DE COSLADA;H001PREV;QFHIG003;CONTROL HIGIE. QUIRÓFANO 3;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULJR;H001;H001QFHIG;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16432,000000000000000000;0;2025-05-16;toma de muestras ambientales Q3;HOSPITAL DE COSLADA;H001PREV;QFHIG003;CONTROL HIGIE. QUIRÓFANO 3;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULFG;H001;H001QFHIG;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16432,000000000000000000;0;2025-05-16;toma de muestras ambientales Q3;HOSPITAL DE COSLADA;H001PREV;QFHIG003;CONTROL HIGIE. QUIRÓFANO 3;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULAS;H001;H001QFHIG;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16431,000000000000000000;0;2025-05-16;toma de muestras ambientales Q2;HOSPITAL DE COSLADA;H001PREV;QFHIG002;CONTROL HIGIE. QUIRÓFANO 2;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULCI;H001;H001QFHIG;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16431,000000000000000000;0;2025-05-16;toma de muestras ambientales Q2;HOSPITAL DE COSLADA;H001PREV;QFHIG002;CONTROL HIGIE. QUIRÓFANO 2;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULAS;H001;H001QFHIG;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16431,000000000000000000;0;2025-05-16;toma de muestras ambientales Q2;HOSPITAL DE COSLADA;H001PREV;QFHIG002;CONTROL HIGIE. QUIRÓFANO 2;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;0;H001;H001QFHIG;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16431,000000000000000000;0;2025-05-16;toma de muestras ambientales Q2;HOSPITAL DE COSLADA;H001PREV;QFHIG002;CONTROL HIGIE. QUIRÓFANO 2;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULJR;H001;H001QFHIG;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16431,000000000000000000;0;2025-05-16;toma de muestras ambientales Q2;HOSPITAL DE COSLADA;H001PREV;QFHIG002;CONTROL HIGIE. QUIRÓFANO 2;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULFG;H001;H001QFHIG;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16430,000000000000000000;;2025-05-16;2 visita Inspección reglamentaria Ascensores.;MOLINS DE REI;INS;217ASC;Ascensores;Planificada;No Urgente;Sin Asignar;INN01;0;BR0821;ASC;;;PLA;2;Cataluña;217;2025-05-16;INS
16429,000000000000000000;0;2025-05-16;medición del agua del canal;HOSPITAL DE COSLADA;H001PREV;FGCOL003;COLECTOR AFCH CANAL ISABEL II;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;0;H001;H001FGCOL;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16429,000000000000000000;0;2025-05-16;medición del agua del canal;HOSPITAL DE COSLADA;H001PREV;FGCOL003;COLECTOR AFCH CANAL ISABEL II;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULCI;H001;H001FGCOL;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16428,000000000000000000;;2025-05-16;limpieza grupo de presión fontanería;HOSPITAL DE COSLADA;H001PREV;BGGPF;GP FONTANERÍA;Validada Gestor;No Urgente;Sin Asignar;H001-INM;H001-INM;H001;H001BG;2025-05-30;;80;44;Comunidad de Madrid;H001;2025-05-16;H001PREV
16427,000000000000000000;;2025-05-16;2 visita Inspección reglamentaria Ascensores.;GIRONA;INS;229ASC;Ascensores;Planificada;No Urgente;Sin Asignar;INN01;0;FH1701;ASC;;;PLA;2;Cataluña;229;2025-05-16;INS
