Id;Costes (€);Inicio Real;Descripción;Nombre Centro;Tipo Trabajo;Equipo;Desc. Equipo;Desc. Estado;Urgencia;Especialidad;Contratista;Personal;Sector;Familia;Fecha cierre;Factura;Estado;Contrato;CCAA;Centro de Servicio;Fecha Planificada;Tipo de Trabajo
22596;214,2;05/08/2025;Revision MENSUAL CLIMATIZACION  (>70 kW);VIGO;PRV;607AAC;Climatizacion;Facturada;No Urgente;Sin Asignar;VEE01;0;IM3601;AAC;29/08/2025;FVR202518023572;90;8;Galicia;607;05/08/2025;PRV
22595;;05/08/2025;Revision BIMESTRAL CLIMATIZACION (<70 kW);VILAGARCIA DE AROUSA;PRV;608AAC;Climatizacion;No Realizada;No Urgente;Sin Asignar;VEE01;0;IN3603;AAC;09/10/2025;;NA;8;Galicia;608;05/08/2025;PRV
22594;214,2;05/08/2025;Revision MENSUAL CLIMATIZACION  (>70 kW);BILBAO;PRV;906AAC;Climatizacion;Validada Gestor;No Urgente;Sin Asignar;VEE01;0;JL4801;AAC;07/08/2025;;80;8;País Vasco;906;05/08/2025;PRV
22593;34,5;04/08/2025;AJUSTE MANILLAR PUERTA;CHAMARTIN;COR;763OBC;Reparaciones Generales [Obra Civil];Facturada;No Urgente;VARIOS;ELECNOR;0;CM2828;OBC;04/08/2025;5135025000;90;35;Comunidad de Madrid;763;04/08/2025;COR
22592;77,15;08/08/2025;luz del aseo de hombres parpadea;TELDE;COR;104ELE;Electricidad;Facturada;No Urgente;ELECTRICIDAD;MON01;0;EI3506;ELE;08/08/2025;205000599025;90;36;Canarias;104;04/08/2025;COR
22591;36,515;11/08/2025;CORDOBA_Cisterna recién reparada no para de echar agua;CORDOBA;COR;007FON;Fontaneria;Facturada;No Urgente;FONTANERÍA;ALA01;0;KE1401;FON;11/08/2025;729;90;62;Andalucía;007;04/08/2025;COR
22590;34,77;11/08/2025;CORDOBA_llave de paso de wc señorasd en Doce de Octubre no cierra;CORDOBA;COR;007FON;Fontaneria;Facturada;No Urgente;FONTANERÍA;ALA01;0;KE1401;FON;11/08/2025;729;90;62;Andalucía;007;04/08/2025;COR
22589;3106,88;04/08/2025;Aire acondicionado RHB;SANT FELIU DE LLOBREGAT;COR;208AAC;Climatizacion;Facturada;Urgente;CLIMA;CLE01;0;BI0818;AAC;29/09/2025;42-01-00001725F;90;7;Cataluña;208;04/08/2025;COR
22588;63,265;04/08/2025;No funciona la cadena del WC de minusválidos (vestuario masculino RHB pacientes);BARCELONA - CASP;COR;224FON;Fontaneria;Facturada;No Urgente;FONTANERÍA;NWC;0;BX0803;FON;22/09/2025;F25_421;90;52;Cataluña;224;04/08/2025;COR
22585;49;04/08/2025;TOLEDO_Ruido en máquina de planta baja (servicio médico);TOLEDO;COR;308AAC02;Maquina Clima 02 [Zona Sanitaria Planta Baja];Facturada;Urgente;CLIMA;ASIME;0;DK4501;AAC;05/08/2025;FCTASM2501247;90;34;Castilla-La Mancha;308;04/08/2025;COR
